time,pos_x,pos_y,pos_z,vel_x,vel_y,vel__z
0.0001,0,20,0.6,0,0,0
0.0002,0,20,0.6,0,0,0
0.0003,0,20,0.6,0,0,0
0.0004,0,20,0.6,0,0,0
0.0005,0,20,0.6,0,0,0
0.0006,0,20,0.6,0,0,0
0.0007,0,20,0.6,0,0,0
0.0008,0,20,0.6,0,0,0
0.0009,0,20,0.6,0,0,0
0.001,0,20,0.6,0,0,0
0.0011,0,20,0.6,0,0,0
0.0012,0,20,0.6,0,0,0
0.0013,0,20,0.6,0,0,0
0.0014,0,20,0.6,0,0,0
0.0015,0,20,0.6,0,0,0
0.0016,0,20,0.6,0,0,0
0.0017,0,20,0.6,0,0,0
0.0018,0,20,0.6,0,0,0
0.0019,0,20,0.6,0,0,0
0.002,0,20,0.6,0,0,0
0.0021,0,20,0.6,0,0,0
0.0022,0,20,0.6,0,0,0
0.0023,0,20,0.6,0,0,0
0.0024,0,20,0.6,0,0,0
0.0025,0,20,0.6,0,0,0
0.0026,0,20,0.6,0,0,0
0.0027,0,20,0.6,0,0,0
0.0028,0,20,0.6,0,0,0
0.0029,0,20,0.6,0,0,0
0.003,0,20,0.6,0,0,0
0.0031,0,20,0.6,0,0,0
0.0032,0,20,0.6,0,0,0
0.0033,0,20,0.6,0,0,0
0.0034,0,20,0.6,0,0,0
0.0035,0,20,0.6,0,0,0
0.0036,0,20,0.6,0,0,0
0.0037,0,20,0.6,0,0,0
0.0038,0,20,0.6,0,0,0
0.0039,0,20,0.6,0,0,0
0.004,0,20,0.6,0,0,0
0.0041,0,20,0.6,0,0,0
0.0042,0,20,0.6,0,0,0
0.0043,0,20,0.6,0,0,0
0.0044,0,20,0.6,0,0,0
0.0045,0,20,0.6,0,0,0
0.0046,0,20,0.6,0,0,0
0.0047,0,20,0.6,0,0,0
0.0048,0,20,0.6,0,0,0
0.0049,0,20,0.6,0,0,0
0.005,0,20,0.6,0,0,0
0.0051,0,20,0.6,0,0,0
0.0052,0,20,0.6,0,0,0
0.0053,0,20,0.6,0,0,0
0.0054,0,20,0.6,0,0,0
0.0055,0,20,0.6,0,0,0
0.0056,0,20,0.6,0,0,0
0.0057,0,20,0.6,0,0,0
0.0058,0,20,0.6,0,0,0
0.0059,0,20,0.6,0,0,0
0.006,0,20,0.6,0,0,0
0.0061,0,20,0.6,0,0,0
0.0062,0,20,0.6,0,0,0
0.0063,0,20,0.6,0,0,0
0.0064,0,20,0.6,0,0,0
0.0065,0,20,0.6,0,0,0
0.0066,0,20,0.6,0,0,0
0.0067,0,20,0.6,0,0,0
0.0068,0,20,0.6,0,0,0
0.0069,0,20,0.6,0,0,0
0.007,0,20,0.6,0,0,0
0.0071,0,20,0.6,0,0,0
0.0072,0,20,0.6,0,0,0
0.0073,0,20,0.6,0,0,0
0.0074,0,20,0.6,0,0,0
0.0075,0,20,0.6,0,0,0
0.0076,0,20,0.6,0,0,0
0.0077,0,20,0.6,0,0,0
0.0078,0,20,0.6,0,0,0
0.0079,0,20,0.6,0,0,0
0.008,0,20,0.6,0,0,0
0.0081,0,20,0.6,0,0,0
0.0082,0,20,0.6,0,0,0
0.0083,0,20,0.6,0,0,0
0.0084,0,20,0.6,0,0,0
0.0085,0,20,0.6,0,0,0
0.0086,0,20,0.6,0,0,0
0.0087,0,20,0.6,0,0,0
0.0088,0,20,0.6,0,0,0
0.0089,0,20,0.6,0,0,0
0.009,0,20,0.6,0,0,0
0.0091,0,20,0.6,0,0,0
0.0092,0,20,0.6,0,0,0
0.0093,0,20,0.6,0,0,0
0.0094,0,20,0.6,0,0,0
0.0095,0,20,0.6,0,0,0
0.0096,0,20,0.6,0,0,0
0.0097,0,20,0.6,0,0,0
0.0098,0,20,0.6,0,0,0
0.0099,0,20,0.6,0,0,0
0.01,0,20,0.6,0,0,0
0.0101,0,20,0.6,0,0,0
0.0102,0,20,0.6,0,0,0
0.0103,0,20,0.6,0,0,0
0.0104,0,20,0.6,0,0,0
0.0105,0,20,0.6,0,0,0
0.0106,0,20,0.6,0,0,0
0.0107,0,20,0.6,0,0,0
0.0108,0,20,0.6,0,0,0
0.0109,0,20,0.6,0,0,0
0.011,0,20,0.6,0,0,0
0.0111,0,20,0.6,0,0,0
0.0112,0,20,0.6,0,0,0
0.0113,0,20,0.6,0,0,0
0.0114,0,20,0.6,0,0,0
0.0115,0,20,0.6,0,0,0
0.0116,0,20,0.6,0,0,0
0.0117,0,20,0.6,0,0,0
0.0118,0,20,0.6,0,0,0
0.0119,0,20,0.6,0,0,0
0.012,0,20,0.6,0,0,0
0.0121,0,20,0.6,0,0,0
0.0122,0,20,0.6,0,0,0
0.0123,0,20,0.6,0,0,0
0.0124,0,20,0.6,0,0,0
0.0125,0,20,0.6,0,0,0
0.0126,0,20,0.6,0,0,0
0.0127,0,20,0.6,0,0,0
0.0128,0,20,0.6,0,0,0
0.0129,0,20,0.6,0,0,0
0.013,0,20,0.6,0,0,0
0.0131,0,20,0.6,0,0,0
0.0132,0,20,0.6,0,0,0
0.0133,0,20,0.6,0,0,0
0.0134,0,20,0.6,0,0,0
0.0135,0,20,0.6,0,0,0
0.0136,0,20,0.6,0,0,0
0.0137,0,20,0.6,0,0,0
0.0138,0,20,0.6,0,0,0
0.0139,0,20,0.6,0,0,0
0.014,0,20,0.6,0,0,0
0.0141,0,20,0.6,0,0,0
0.0142,0,20,0.6,0,0,0
0.0143,0,20,0.6,0,0,0
0.0144,0,20,0.6,0,0,0
0.0145,0,20,0.6,0,0,0
0.0146,0,20,0.6,0,0,0
0.0147,0,20,0.6,0,0,0
0.0148,0,20,0.6,0,0,0
0.0149,0,20,0.6,0,0,0
0.015,0,20,0.6,0,0,0
0.0151,0,20,0.6,0,0,0
0.0152,0,20,0.6,0,0,0
0.0153,0,20,0.6,0,0,0
0.0154,0,20,0.6,0,0,0
0.0155,0,20,0.6,0,0,0
0.0156,0,20,0.6,0,0,0
0.0157,0,20,0.6,0,0,0
0.0158,0,20,0.6,0,0,0
0.0159,0,20,0.6,0,0,0
0.016,0,20,0.6,0,0,0
0.0161,0,20,0.6,0,0,0
0.0162,0,20,0.6,0,0,0
